rule,confidence,lift
{'avocado'} --> {'mineral water'},0.3453815261044177,1.449558727354859
{'burgers'} --> {'eggs'},0.3302752293577982,1.837584733073803
{'burgers'} --> {'french fries'},0.25229357798165136,1.4759764702514706
{'burgers'} --> {'green tea'},0.20030581039755352,1.5174682605875265
{'burgers'} --> {'milk'},0.20489296636085627,1.5809642466115454
{'burgers'} --> {'mineral water'},0.2798165137614679,1.1743838014611132
{'burgers'} --> {'spaghetti'},0.24617737003058104,1.4137291540806722
{'cake'} --> {'eggs'},0.23519736842105263,1.3085906996720287
{'cake'} --> {'french fries'},0.22039473684210525,1.289360784957714
{'cake'} --> {'mineral water'},0.33881578947368424,1.422002474008188
{'cake'} --> {'spaghetti'},0.2236842105263158,1.2845571048601596
{'cereals'} --> {'mineral water'},0.39896373056994816,1.674442070103308
{'champagne'} --> {'chocolate'},0.24786324786324787,1.5125910162525298
{'chicken'} --> {'chocolate'},0.24444444444444444,1.4917276918904259
{'chicken'} --> {'eggs'},0.24,1.3353115727002967
{'chicken'} --> {'milk'},0.24666666666666667,1.903292181069959
{'chicken'} --> {'mineral water'},0.38,1.594851706771125
{'chicken'} --> {'spaghetti'},0.2866666666666667,1.64624808575804
{'cooking oil'} --> {'chocolate'},0.26631853785900783,1.6252148364056622
{'chocolate'} --> {'eggs'},0.20260374288039057,1.127246343919087
{'escalope'} --> {'chocolate'},0.2218487394957983,1.353836896841731
{'french fries'} --> {'chocolate'},0.20124804992199688,1.228120727758321
{'chocolate'} --> {'french fries'},0.20992676973148902,1.2281207277583213
{'frozen smoothie'} --> {'chocolate'},0.23628691983122363,1.4419462154061653
{'frozen vegetables'} --> {'chocolate'},0.24055944055944056,1.4680193687516716
{'grated cheese'} --> {'chocolate'},0.20865139949109415,1.2732998341604607
{'ground beef'} --> {'chocolate'},0.23473541383989144,1.432478115377694
{'milk'} --> {'chocolate'},0.24794238683127573,1.5130739635757267
{'mineral water'} --> {'chocolate'},0.22104085058757694,1.3489067367020562
{'chocolate'} --> {'mineral water'},0.3213995117982099,1.3489067367020562
{'olive oil'} --> {'chocolate'},0.24949290060851928,1.5225360085955204
{'pancakes'} --> {'chocolate'},0.20897615708274894,1.2752816746302824
{'salmon'} --> {'chocolate'},0.25157232704402516,1.535225754947265
{'shrimp'} --> {'chocolate'},0.2523364485981308,1.539888823829114
{'soup'} --> {'chocolate'},0.20052770448548812,1.223724803613638
{'spaghetti'} --> {'chocolate'},0.225114854517611,1.3737684368446563
{'chocolate'} --> {'spaghetti'},0.23921887713588283,1.3737684368446563
{'tomatoes'} --> {'chocolate'},0.2046783625730994,1.24905428746806
{'whole wheat rice'} --> {'chocolate'},0.20501138952164008,1.2510865918733123
{'cooking oil'} --> {'eggs'},0.2297650130548303,1.2783661705572902
{'cooking oil'} --> {'milk'},0.2245430809399478,1.732585501079844
{'cooking oil'} --> {'mineral water'},0.39425587467362927,1.6546833016520535
{'cooking oil'} --> {'spaghetti'},0.31070496083550914,1.784293419805757
{'eggs'} --> {'french fries'},0.20252225519287834,1.1848025849817376
{'french fries'} --> {'eggs'},0.21294851794071762,1.1848025849817376
{'frozen vegetables'} --> {'eggs'},0.22797202797202798,1.268390363345853
{'ground beef'} --> {'eggs'},0.20352781546811397,1.1323876973374294
{'herb & pepper'} --> {'eggs'},0.25336927223719674,1.4096955057707534
{'low fat yogurt'} --> {'eggs'},0.2198952879581152,1.2234530116363975
{'milk'} --> {'eggs'},0.23765432098765432,1.322260687987691
{'mineral water'} --> {'eggs'},0.21376608841634023,1.1893513821383916
{'eggs'} --> {'mineral water'},0.28338278931750743,1.1893513821383916
{'pancakes'} --> {'eggs'},0.22861150070126227,1.2719482605782397
{'eggs'} --> {'spaghetti'},0.2032640949554896,1.1672899786877275
{'spaghetti'} --> {'eggs'},0.20980091883614088,1.1672899786877275
{'turkey'} --> {'eggs'},0.31130063965884863,1.7320139446894398
{'escalope'} --> {'french fries'},0.20672268907563024,1.2093761061366823
{'frozen smoothie'} --> {'french fries'},0.229957805907173,1.3453069768360355
{'frozen vegetables'} --> {'french fries'},0.2,1.170046801872075
{'green tea'} --> {'french fries'},0.21616161616161617,1.26459603838699
{'pancakes'} --> {'french fries'},0.211781206171108,1.238969614885577
{'fresh bread'} --> {'mineral water'},0.30959752321981426,1.2993740482085099
{'frozen smoothie'} --> {'milk'},0.22573839662447256,1.7418086159295723
{'frozen smoothie'} --> {'mineral water'},0.31856540084388185,1.3370120348791907
{'frozen smoothie'} --> {'spaghetti'},0.2468354430379747,1.4175082869715239
{'frozen vegetables'} --> {'milk'},0.24755244755244754,1.91012691012691
{'frozen vegetables'} --> {'mineral water'},0.3748251748251748,1.5731330784492508
{'shrimp'} --> {'frozen vegetables'},0.2336448598130841,2.4508202078295533
{'frozen vegetables'} --> {'spaghetti'},0.2923076923076923,1.6786429496996114
{'tomatoes'} --> {'frozen vegetables'},0.23586744639376217,2.4741340530814213
{'grated cheese'} --> {'ground beef'},0.21628498727735368,2.201000548955431
{'grated cheese'} --> {'mineral water'},0.3333333333333333,1.3989927252378287
{'grated cheese'} --> {'spaghetti'},0.3155216284987277,1.8119542218533369
{'green tea'} --> {'spaghetti'},0.201010101010101,1.1543459093229385
{'herb & pepper'} --> {'ground beef'},0.32345013477088946,3.291554967139309
{'ground beef'} --> {'milk'},0.22388059701492538,1.7274737423991158
{'ground beef'} --> {'mineral water'},0.41655359565807326,1.7482663499919135
{'olive oil'} --> {'ground beef'},0.2150101419878296,2.1880272251135984
{'ground beef'} --> {'spaghetti'},0.3989145183175034,2.290856728469583
{'spaghetti'} --> {'ground beef'},0.225114854517611,2.2908567284695827
{'herb & pepper'} --> {'mineral water'},0.3450134770889488,1.4480140336693432
{'herb & pepper'} --> {'spaghetti'},0.3288409703504043,1.8884435510168702
{'honey'} --> {'mineral water'},0.3154929577464789,1.324117058253269
{'honey'} --> {'spaghetti'},0.2507042253521127,1.4397256432931431
{'low fat yogurt'} --> {'mineral water'},0.31239092495637,1.3110978943328344
{'mineral water'} --> {'milk'},0.20145495243424735,1.5544363613753656
{'milk'} --> {'mineral water'},0.37037037037037035,1.5544363613753653
{'olive oil'} --> {'milk'},0.25963488843813387,2.0033556206646135
{'shrimp'} --> {'milk'},0.2467289719626168,1.903772931810315
{'soup'} --> {'milk'},0.3007915567282322,2.320922505619076
{'milk'} --> {'spaghetti'},0.2736625514403292,1.5715690166940803
{'spaghetti'} --> {'milk'},0.20367534456355282,1.5715690166940806
{'tomatoes'} --> {'milk'},0.2046783625730994,1.5793083531874954
{'whole wheat rice'} --> {'milk'},0.20273348519362186,1.5643015832841194
{'olive oil'} --> {'mineral water'},0.4178498985801217,1.7537069050648646
{'pancakes'} --> {'mineral water'},0.3548387096774194,1.489250320414463
{'red wine'} --> {'mineral water'},0.3886255924170616,1.6310531298981323
{'salmon'} --> {'mineral water'},0.39937106918238996,1.6761516613698517
{'shrimp'} --> {'mineral water'},0.32897196261682243,1.3806881475244368
{'soup'} --> {'mineral water'},0.45646437994722955,1.9157710406291113
{'mineral water'} --> {'spaghetti'},0.2506994963626189,1.4396984860027884
{'spaghetti'} --> {'mineral water'},0.3430321592649311,1.4396984860027886
{'tomatoes'} --> {'mineral water'},0.3567251461988304,1.497167653324694
{'turkey'} --> {'mineral water'},0.3070362473347548,1.2886244292169342
{'whole wheat rice'} --> {'mineral water'},0.3439635535307517,1.4436075274094224
{'olive oil'} --> {'spaghetti'},0.3488843813387424,2.0035473660341254
{'pancakes'} --> {'spaghetti'},0.2650771388499299,1.5222653456159834
{'red wine'} --> {'spaghetti'},0.36492890995260663,2.0956866957462097
{'salmon'} --> {'spaghetti'},0.31761006289308175,1.8239475280996271
{'shrimp'} --> {'spaghetti'},0.297196261682243,1.706716663565714
{'soup'} --> {'spaghetti'},0.28232189973614774,1.6212972802611854
{'tomatoes'} --> {'spaghetti'},0.3060428849902534,1.7575203961921138
{'turkey'} --> {'spaghetti'},0.26439232409381663,1.5183326421926682
{'whole wheat rice'} --> {'spaghetti'},0.24145785876993167,1.3866262946205876
"{'mineral water', 'eggs'} --> {'chocolate'}",0.2643979057591623,1.6134941360404533
"{'mineral water', 'chocolate'} --> {'eggs'}",0.25569620253164554,1.422642076400105
"{'eggs', 'chocolate'} --> {'mineral water'}",0.40562248995983935,1.7023887379400084
"{'eggs', 'spaghetti'} --> {'chocolate'}",0.28832116788321166,1.7594863784573536
"{'eggs', 'chocolate'} --> {'spaghetti'}",0.3172690763052209,1.8219893355965977
"{'spaghetti', 'chocolate'} --> {'eggs'}",0.2687074829931973,1.4950342154666023
"{'ground beef', 'mineral water'} --> {'chocolate'}",0.2671009771986971,1.6299896899839121
"{'ground beef', 'chocolate'} --> {'mineral water'}",0.47398843930635837,1.9893191353092825
"{'mineral water', 'chocolate'} --> {'ground beef'}",0.20759493670886076,2.1125671985297907
"{'mineral water', 'milk'} --> {'chocolate'}",0.2916666666666667,1.7799023596419856
"{'mineral water', 'chocolate'} --> {'milk'}",0.26582278481012656,2.0511017346460383
"{'milk', 'chocolate'} --> {'mineral water'}",0.43568464730290457,1.8285589562237181
"{'spaghetti', 'milk'} --> {'chocolate'}",0.3082706766917293,1.8812287023498535
"{'spaghetti', 'chocolate'} --> {'milk'}",0.2789115646258503,2.15209540606366
"{'milk', 'chocolate'} --> {'spaghetti'}",0.34024896265560167,1.9539565236730572
"{'mineral water', 'spaghetti'} --> {'chocolate'}",0.265625,1.6209825061025225
"{'mineral water', 'chocolate'} --> {'spaghetti'}",0.3012658227848101,1.730087037431911
"{'spaghetti', 'chocolate'} --> {'mineral water'}",0.40476190476190477,1.6987768806459351
"{'ground beef', 'mineral water'} --> {'eggs'}",0.247557003257329,1.3773572139688186
"{'ground beef', 'eggs'} --> {'mineral water'}",0.5066666666666667,2.1264689423615
