rule,confidence,lift
{'burgers'} --> {'eggs'},0.3302752293577982,1.837584733073803
{'burgers'} --> {'french fries'},0.25229357798165136,1.4759764702514706
{'burgers'} --> {'mineral water'},0.2798165137614679,1.1743838014611132
{'burgers'} --> {'spaghetti'},0.24617737003058104,1.4137291540806722
{'cake'} --> {'mineral water'},0.33881578947368424,1.422002474008188
{'chicken'} --> {'mineral water'},0.38,1.594851706771125
{'chocolate'} --> {'eggs'},0.20260374288039057,1.127246343919087
{'french fries'} --> {'chocolate'},0.20124804992199688,1.228120727758321
{'chocolate'} --> {'french fries'},0.20992676973148902,1.2281207277583213
{'frozen vegetables'} --> {'chocolate'},0.24055944055944056,1.4680193687516716
{'ground beef'} --> {'chocolate'},0.23473541383989144,1.432478115377694
{'milk'} --> {'chocolate'},0.24794238683127573,1.5130739635757267
{'mineral water'} --> {'chocolate'},0.22104085058757694,1.3489067367020562
{'chocolate'} --> {'mineral water'},0.3213995117982099,1.3489067367020562
{'spaghetti'} --> {'chocolate'},0.225114854517611,1.3737684368446563
{'chocolate'} --> {'spaghetti'},0.23921887713588283,1.3737684368446563
{'cooking oil'} --> {'mineral water'},0.39425587467362927,1.6546833016520535
{'eggs'} --> {'french fries'},0.20252225519287834,1.1848025849817376
{'french fries'} --> {'eggs'},0.21294851794071762,1.1848025849817376
{'frozen vegetables'} --> {'eggs'},0.22797202797202798,1.268390363345853
{'ground beef'} --> {'eggs'},0.20352781546811397,1.1323876973374294
{'milk'} --> {'eggs'},0.23765432098765432,1.322260687987691
{'eggs'} --> {'mineral water'},0.28338278931750743,1.1893513821383916
{'mineral water'} --> {'eggs'},0.21376608841634023,1.1893513821383916
{'pancakes'} --> {'eggs'},0.22861150070126227,1.2719482605782397
{'spaghetti'} --> {'eggs'},0.20980091883614088,1.1672899786877275
{'eggs'} --> {'spaghetti'},0.2032640949554896,1.1672899786877275
{'green tea'} --> {'french fries'},0.21616161616161617,1.26459603838699
{'pancakes'} --> {'french fries'},0.211781206171108,1.238969614885577
{'frozen smoothie'} --> {'mineral water'},0.31856540084388185,1.3370120348791907
{'frozen vegetables'} --> {'milk'},0.24755244755244754,1.91012691012691
{'frozen vegetables'} --> {'mineral water'},0.3748251748251748,1.5731330784492508
{'frozen vegetables'} --> {'spaghetti'},0.2923076923076923,1.6786429496996114
{'green tea'} --> {'spaghetti'},0.201010101010101,1.1543459093229385
{'ground beef'} --> {'milk'},0.22388059701492538,1.7274737423991158
{'ground beef'} --> {'mineral water'},0.41655359565807326,1.7482663499919135
{'spaghetti'} --> {'ground beef'},0.225114854517611,2.2908567284695827
{'ground beef'} --> {'spaghetti'},0.3989145183175034,2.290856728469583
{'low fat yogurt'} --> {'mineral water'},0.31239092495637,1.3110978943328344
{'milk'} --> {'mineral water'},0.37037037037037035,1.5544363613753653
{'mineral water'} --> {'milk'},0.20145495243424735,1.5544363613753656
{'milk'} --> {'spaghetti'},0.2736625514403292,1.5715690166940803
{'spaghetti'} --> {'milk'},0.20367534456355282,1.5715690166940806
{'olive oil'} --> {'mineral water'},0.4178498985801217,1.7537069050648646
{'pancakes'} --> {'mineral water'},0.3548387096774194,1.489250320414463
{'shrimp'} --> {'mineral water'},0.32897196261682243,1.3806881475244368
{'soup'} --> {'mineral water'},0.45646437994722955,1.9157710406291113
{'spaghetti'} --> {'mineral water'},0.3430321592649311,1.4396984860027886
{'mineral water'} --> {'spaghetti'},0.2506994963626189,1.4396984860027884
{'tomatoes'} --> {'mineral water'},0.3567251461988304,1.497167653324694
{'whole wheat rice'} --> {'mineral water'},0.3439635535307517,1.4436075274094224
{'olive oil'} --> {'spaghetti'},0.3488843813387424,2.0035473660341254
{'pancakes'} --> {'spaghetti'},0.2650771388499299,1.5222653456159834
{'shrimp'} --> {'spaghetti'},0.297196261682243,1.706716663565714
{'tomatoes'} --> {'spaghetti'},0.3060428849902534,1.7575203961921138
