rule,confidence,lift
{'avocado'} --> {'mineral water'},0.3453815261044177,1.449558727354859
{'burgers'} --> {'eggs'},0.3302752293577982,1.837584733073803
{'cake'} --> {'mineral water'},0.33881578947368424,1.422002474008188
{'cereals'} --> {'mineral water'},0.39896373056994816,1.674442070103308
{'chicken'} --> {'mineral water'},0.38,1.594851706771125
{'chocolate'} --> {'mineral water'},0.3213995117982099,1.3489067367020562
{'cooking oil'} --> {'mineral water'},0.39425587467362927,1.6546833016520535
{'cooking oil'} --> {'spaghetti'},0.31070496083550914,1.784293419805757
{'turkey'} --> {'eggs'},0.31130063965884863,1.7320139446894398
{'fresh bread'} --> {'mineral water'},0.30959752321981426,1.2993740482085099
{'frozen smoothie'} --> {'mineral water'},0.31856540084388185,1.3370120348791907
{'frozen vegetables'} --> {'mineral water'},0.3748251748251748,1.5731330784492508
{'grated cheese'} --> {'mineral water'},0.3333333333333333,1.3989927252378287
{'grated cheese'} --> {'spaghetti'},0.3155216284987277,1.8119542218533369
{'herb & pepper'} --> {'ground beef'},0.32345013477088946,3.291554967139309
{'ground beef'} --> {'mineral water'},0.41655359565807326,1.7482663499919135
{'ground beef'} --> {'spaghetti'},0.3989145183175034,2.290856728469583
{'herb & pepper'} --> {'mineral water'},0.3450134770889488,1.4480140336693432
{'herb & pepper'} --> {'spaghetti'},0.3288409703504043,1.8884435510168702
{'honey'} --> {'mineral water'},0.3154929577464789,1.324117058253269
{'low fat yogurt'} --> {'mineral water'},0.31239092495637,1.3110978943328344
{'milk'} --> {'mineral water'},0.37037037037037035,1.5544363613753653
{'soup'} --> {'milk'},0.3007915567282322,2.320922505619076
{'olive oil'} --> {'mineral water'},0.4178498985801217,1.7537069050648646
{'pancakes'} --> {'mineral water'},0.3548387096774194,1.489250320414463
{'red wine'} --> {'mineral water'},0.3886255924170616,1.6310531298981323
{'salmon'} --> {'mineral water'},0.39937106918238996,1.6761516613698517
{'shrimp'} --> {'mineral water'},0.32897196261682243,1.3806881475244368
{'soup'} --> {'mineral water'},0.45646437994722955,1.9157710406291113
{'spaghetti'} --> {'mineral water'},0.3430321592649311,1.4396984860027886
{'tomatoes'} --> {'mineral water'},0.3567251461988304,1.497167653324694
{'turkey'} --> {'mineral water'},0.3070362473347548,1.2886244292169342
{'whole wheat rice'} --> {'mineral water'},0.3439635535307517,1.4436075274094224
{'olive oil'} --> {'spaghetti'},0.3488843813387424,2.0035473660341254
{'red wine'} --> {'spaghetti'},0.36492890995260663,2.0956866957462097
{'salmon'} --> {'spaghetti'},0.31761006289308175,1.8239475280996271
{'tomatoes'} --> {'spaghetti'},0.3060428849902534,1.7575203961921138
"{'chocolate', 'eggs'} --> {'mineral water'}",0.40562248995983935,1.7023887379400084
"{'chocolate', 'eggs'} --> {'spaghetti'}",0.3172690763052209,1.8219893355965977
"{'ground beef', 'chocolate'} --> {'mineral water'}",0.47398843930635837,1.9893191353092825
"{'chocolate', 'milk'} --> {'mineral water'}",0.43568464730290457,1.8285589562237181
"{'chocolate', 'milk'} --> {'spaghetti'}",0.34024896265560167,1.9539565236730572
"{'milk', 'spaghetti'} --> {'chocolate'}",0.3082706766917293,1.8812287023498535
"{'chocolate', 'mineral water'} --> {'spaghetti'}",0.3012658227848101,1.730087037431911
"{'chocolate', 'spaghetti'} --> {'mineral water'}",0.40476190476190477,1.6987768806459351
"{'ground beef', 'eggs'} --> {'mineral water'}",0.5066666666666667,2.1264689423615
"{'eggs', 'milk'} --> {'mineral water'}",0.42424242424242425,1.7805361957572368
"{'eggs', 'spaghetti'} --> {'mineral water'}",0.3905109489051095,1.638965929931909
"{'french fries', 'mineral water'} --> {'spaghetti'}",0.30039525691699603,1.7250876162920905
"{'french fries', 'spaghetti'} --> {'mineral water'}",0.3671497584541063,1.5409195234503623
"{'mineral water', 'frozen vegetables'} --> {'milk'}",0.30970149253731344,2.3896720103187765
"{'milk', 'frozen vegetables'} --> {'mineral water'}",0.4689265536723164,1.9680745117752507
"{'mineral water', 'frozen vegetables'} --> {'spaghetti'}",0.3358208955223881,1.9285273479463327
"{'spaghetti', 'frozen vegetables'} --> {'mineral water'}",0.430622009569378,1.8073111761445637
"{'ground beef', 'milk'} --> {'mineral water'}",0.503030303030303,2.1112072035407237
"{'ground beef', 'mineral water'} --> {'spaghetti'}",0.4169381107491857,2.3943612791875135
"{'ground beef', 'spaghetti'} --> {'mineral water'}",0.43537414965986393,1.8272558043922662
"{'mineral water', 'milk'} --> {'spaghetti'}",0.3277777777777778,1.8823379275140377
"{'milk', 'spaghetti'} --> {'mineral water'}",0.44360902255639095,1.8618173862187646
"{'olive oil', 'mineral water'} --> {'spaghetti'}",0.3737864077669903,2.1465528776817973
"{'olive oil', 'spaghetti'} --> {'mineral water'}",0.4476744186046512,1.8788797647089446
"{'pancakes', 'mineral water'} --> {'spaghetti'}",0.33992094861660077,1.9520728289621023
"{'pancakes', 'spaghetti'} --> {'mineral water'}",0.455026455026455,1.9097361011183058
